X,x,classifi
505,RT @adirado29: Jill Abramson on Hillary Clinton: ‘She does get more scrutiny’ than men - POLITICO https://t.co/CPxd6mSrsa,positive
506,"RT @JohnKasich: BREAKING: 2 new polls out tonight!

Only John Kasich defeats Hillary Clinton in November.

https://t.co/I0uZ3dnqmU
https://…",negative
507,"RT @TweetLikeAGirI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/BG4pCnT8wR",positive
508,@delangedotcom absolutely adore that Hillary Men have been dragging her lately as right wing and racist bc Bernie people like her,negative
509,I liked a @YouTube video https://t.co/16UZ3ZpByf Hillary Clinton Announces Presidential Run Jim Jones Style,positive
510,Trump just criticized Hillary Clinton for using a teleprompter. Says the man that could barely speak &amp,negative
512,Most Unbelievably Scandalous Video Hillary Wishes Never Saw Daylight (Video) - https://t.co/b5bCJE2Lv7 via @shareaholic,negative
513,"RT @MenstruaI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/O8YdNrNllB",positive
514,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
515,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
516,"RT @politicalmiller: Gov Brown: Hillary ""aims to break down the barriers that hold working families back"" Amen! #ImWithHer #ShesWithUs http…",negative
517,RT @LostDiva: or that we're killing 100K innocent people. Hillary loves the children! NOPE! ,negative
518,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
519,"RT @wtfjxrge: Bernie supporters, will you vote for Hillary in the general election (RT after voting)",positive
520,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
521,"RT @Barmesvt: Hillary says Isreal's security is non-negotiable yet she supports the Iran deal.  Two faced, Two faced. Two faced.",negative
522,"@CNN @realDonaldTrump @HillaryClinton Hillary is attacking Trump for a reason,she doesn't even speak Cruz's name.The Dems are running scared",positive
523,"""@jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.""",negative
524,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
525,"RT @TweetLikeAGirI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/BG4pCnT8wR",positive
526,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
527,"Wolf Blitzer to Donald Trump ""Hillary says u don't av steady hands"" Trump to Wolf ""I av steady hands. Look at these hands"" lol #FinalFive",negative
528,@rtraister @LOLGOP @michelleinbklyn Hillary is just another shameless politician who says what the audience wants to hear.,negative
529,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
531,RT @HillaryIn2016: Oregon Gov. Kate Brown endorses Hillary Clinton for president https://t.co/vJARLBruBk ,positive
532,RT @BrianWhiteMA: drumpf just said Hillary doesn't know him. Oh really? Just like you don't know David Duke? ,positive
533,"RT @JohnKasich: BREAKING: 2 new polls out tonight!

Only John Kasich defeats Hillary Clinton in November.

https://t.co/I0uZ3dnqmU
https://…",negative
534,"RT @GuerrillaDems: Bernie Sanders's Global Victory Over Hillary Clinton https://t.co/JU3uO9hGVI

#StillSanders #ForThePeople #ImWithHer htt…",negative
535,RT @SheilaPawley: Sounds like Mrs Cruz could be another Hillary! Very Scary!!!! https://t.co/eH6dgqLGnb,negative
536,RT @ellaspillane: Clinton isn't even my preferred candidate but this article is important  https://t.co/DFCIamE95x,negative
537,"RT @NumbersMuncher: Hillary is an unpopular, damaged candidate and the GOP has found a way to completely neutralize every one of her weakne…",negative
538,RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.co/1fQbCGgNOP,positive
539,"4/ eg: HRC crucified for dumb Reagan/AIDS remarks. You know who *did* help the ""nat'l conversation""? The Clintons! https://t.co/QInAUOLr28",positive
540,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
542,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
543,RT @DesertRiver: Fact. Hillary lied. Hilly tried to delete all these. FBI recovered them to her dismay. FBI investigating. DOJ is too https…,negative
544,"@MaliqMatthew @dhiggins63 @mrscorie They are riled up because the don't want Hillary, simple thruth.",positive
545,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
546,"When you hear Hillary say ""Israel's security is non-negotiable"" but you know she supports the Iran deal... https://t.co/VbXI6CUBXN",negative
547,RT @adirado29: Lena Dunham says her support for Hillary Clinton has unleashed 'hostility' from Sanders supporters https://t.co/b8XmYFQ9Yd,negative
548,RT @BoycottAhava: Critics outraged by disgusting speech Hillary Clinton gave at ,negative
549,"RT @GirlNotes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/F5Yfoccv5u",positive
552,RT @StuntHangar: @TeresaC85469500 DT will be the next POTUS polls show he will beat Hillary 90% to 10% https://t.co/SW0nbbinLe,negative
553,RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.co/8egMgX7aZn,positive
554,RT @RaniaKhalek: Hillary Clinton claims ISIS is partnering with Hamas in Gaza. That's a slanderous lie. ,negative
555,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
556,"RT @PolitiBunny: #NeverTrump means just that, never Trump. It doesn't mean we want Hillary, it means we absolutely do not want and will not…",negative
558,"""Hillary Clinton and Donald Trump Vow to Protect Israel but Differ on Means"" by MARK LANDLER and MAGGIE HABERMAN v… https://t.co/qjZCzdsmSH",positive
561,"#ForThePeople BERNIE, tell CNN that Hillary is pampering to Jews.Tell them she can't possibly care for your people more than you do. Fake",negative
562,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
563,"RT @AndreaTantaros: Why isn't media demanding Hillary Clinton denounce violence of Black Lives Matter &amp; Soros organized, paid protestors? S…",positive
564,RT @Millennials4Her: Not on the Hillary phone call? You're missing out on great information. I'm sure @ajeanster would be happy to fill you…,positive
566,@ggreenwald In fairness Trump's speech was far closer to reality than Hillary Clinton's.,negative
568,"RT @HillaryClinton: This primary is being decided state by state. Help Hillary win in three easy (seriously, easy) steps: https://t.co/8myX…",positive
569,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
570,"If Trump and Hillary were both on a boat and it sank, who would survive?
America.",NA
571,@firemanjohn628 @Libertea2012 @SenWarren the longer she waits to not endorse anyone the more pressure on hillary to move left.,NA
572,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
573,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",NA
574,FBI to pursue its criminal investigation of Hillary Clinton&amp,
575,"RT @CNN: Ted Cruz: If Donald Trump is the nominee, it's a disaster. Hillary Clinton wins. https://t.co/3SsFjKO2Cm #FinalFive https://t.co/J…",NA
576,"RT @ggreenwald: Hear that noise? It's liberals walking around confused, trying to figure out how to attack Trump's AIPAC speech that sounds…",negative
577,RT @mitchellvii: EXCLUSIVE: RNC Condemns Bill Kristol's Anti-Trump Third Party as 'Helping to Elect Hillary Clinton' - Breitbart https://t.…,NA
578,RT @AsheSchow: Some of the Left have finally turned on Lena Dunham… because she supports Hillary! —&gt, https://t.co/90FLeTetmV
579,Hillary Clinton Visits Phoenix Ahead Of Tuesday Vote https://t.co/FoHeGSkKzW,NA
580,Trump:  Hillary doesn't know my policies.  What policies?  @realDonaldTrump is a babbling knucklehead.  He has no policies.,negative
581,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",NA
582,Poll: Clinton trails only 1 in GOP:  https://t.co/MuqkOkHYeU,NA
583,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",NA
584,RT @EdMorrissey: Trump argues that he gives the GOP a chance to win New York. Three polls show no evidence of it. https://t.co/ATZxnHGKRQ,negative
585,RT @CosmicFantasia: Dems in Panic Over Hillary Candidacy: 'Our Nominee Is a Disaster' https://t.co/H9HZaNSppE ,
586,Cruz won't get 1237. RINOs won't give him the nomination. @realDonaldTrump is the way forward. Hillary is Armageddon https://t.co/2hp9EahR7R,NA
587,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
588,Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/Mhg0cDqDVR,negative
589,Poll: Clinton trails only 1 in GOP:  https://t.co/tPW5uIXREX,NA
590,"RT @gerfingerpoken: Check out ""13 Hours And Counting To End Of Hillary's Candidacy"" Tea Party Command #PJNET https://t.co/Efmnfcd011 https:…",NA
591,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",NA
592,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,negative
593,"RT @GirlNotes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/F5Yfoccv5u",NA
594,RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.co/uC1Kz2gK3X,NA
595,RT @IAMMGraham: ,
596,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,negative
597,Poll: Clinton trails only 1 in GOP:  https://t.co/BIP8w6uKmO,NA
598,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
599,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",NA
600,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
601,RT @Millennials4Her: Not on the Hillary phone call? You're missing out on great information. I'm sure @ajeanster would be happy to fill you…,NA
602,Poll: Clinton trails only 1 in GOP:  https://t.co/I4G2PRwQTV,NA
603,Trump is not hitting Hillary as I think he would... wow... ,
604,"RT @TweetLikeAGirI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/BG4pCnT8wR",negative
605,"RT @nicktjacob: Trump: ""Hillary, you're terrible.""
Hillary: ""Then why'd you donate so much $$ to me?""

Boom. Over. https://t.co/LgPHHDhGKN",NA
606,"RT @nn99org: Hillary Clinton’s AIPAC speech was a symphony of craven, delusional pandering: https://t.co/Jb9L1Vj7Jp via @slate",NA
607,drumpf just said Hillary doesn't know him. Oh really? Just like you don't know David Duke? ,
608,RT @ORBS1V: Voting for Bernie. Ready for Hillary. https://t.co/1pfk1bsdFZ ,
609,nobody believes Kasich beats Hillary ....do they ? https://t.co/qLCOaxLmat,NA
610,"RT @jeffcrouere: My latest Townhall Column: Republican Elite Determined to Elect Hillary. Sadly, they prefer a liar to Donald Trump. https:…",NA
611,"RT @Slate: Hillary Clinton’s AIPAC speech was a symphony of craven, delusional pandering: https://t.co/jwJcqbaApf https://t.co/sm5A1kBKa0",NA
612,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
613,"RT @maggieNYT: W the great @MarkLandler, Clinton and Trump's divergent AIPAC speeches https://t.co/jFM1few4YT",NA
614,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
615,RT @docrocktex26: The red states don't count bullshit Bernie supporters spew comes directly from the top. https://t.co/MemW52QFG4 https://t…,NA
616,RT @HouseCracka: Bill wants Obama to throw the book at Hillary then he can party like a rock star at his own house! https://t.co/yKb6ArI7qr,negative
617,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
618,"#ForthePeople Who owns Hillary -  Israeli lobby
""Critics Aghast at Disgusting Speech Clinton Gave AIPAC""
https://t.co/VrYAHb287E #ImWithHer",NA
619,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,NA
620,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",negative
621,RT @Culturistic23: Everything Hillary says is negotiable as well.  Her story is ever changing.  ,
622,"RT @wikileaks: RELEASE: Search engine for 30,322 Hillary Clinton emails from Blair to the Rothchilds https://t.co/XcH75u3kbu https://t.co/u…",NA
623,Poll: Clinton trails only 1 in GOP:  https://t.co/x3QZZXolHQ,NA
624,RT @Micha_Joy: As you see he knows ,
625,Poll: Clinton trails only 1 in GOP:  https://t.co/daoX9cAfYn,NA
626,@RezOKC Hillary didn't even pretend to be a progressive or a liberal until she started feeling the bern.,NA
627,HILLARY IS AARON BURR AND BERNIE IS ALEXANDER HAMILTON!!!!!!!!!,NA
628,Poll: Clinton trails only 1 in GOP:  https://t.co/LQep5ZqPet,negative
629,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
630,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",NA
631,Poll: Clinton trails only 1 in GOP:  https://t.co/cglwzJLRL1,NA
632,RT @NizamovRus: Hillary is part of corrupted establishment. Imagine her get indicted b4 general election ,
633,"RT @TRUMP_PREZ: #Obama stands proudly in front of communist mural

This is serious

Only #TRUMP will beat #Hillary.

We MUST UNITE
https://…",NA
634,,
635,Hillary has no FERVOR @realDonaldTrump @wolfblitzer,NA
636,"https://t.co/WYeBSo6i15 Hillary Clinton's keynote speech at the Women of the World Summit April 23, 2015 ""human rights are women's rights.""",negative
637,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,NA
638,RT @webs1934: @jackiemccaffrey Bernie is the reason I'm supporting Hillary. His campaign convinced me to vote for Hillary. I was none of th…,NA
639,"RT @OmanReagan: 2006: Hillary calls for a wall on the US/Mexico border with drones, and IR cameras, like Israel's wall. https://t.co/9xrXv2…",NA
640,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
641,RT @BoycottAhava: Critics outraged by disgusting speech Hillary Clinton gave at ,
642,Poll: Clinton trails only 1 in GOP:  https://t.co/D2jGWfUKaP,NA
643,"RT @GeneMcVay: ★Are you tired of Magic Beans &amp; Pixie Dust peddled by Cruz &amp; Hillary?

Trump WILL:
Control our border
Bring our companies ba…",NA
644,Poll: Clinton trails only 1 in GOP:  https://t.co/AcSvlS99Fo,negative
645,When Hillary is president expect your ,
646,,
647,"RT @TweetLlkeAGuy: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/w2ccPnntBj",NA
648,"RT @ggreenwald: Hear that noise? It's liberals walking around confused, trying to figure out how to attack Trump's AIPAC speech that sounds…",negative
649,"RT @gerfingerpoken: Check out ""13 Hours And Counting To End Of Hillary's Candidacy"" Tea Party Command #PJNET https://t.co/Efmnfcd011 https:…",NA
650,"RT @NBCInvestigates: Clinton says majority of $ from small donations. @PolitiFact finds that ""mostly false."" https://t.co/Ry4ewdv8Q0 https:…",NA
651,@LannyDavis Read this Lanny. It might help you to understand. https://t.co/IExF9xmok7,NA
652,RT @philmonaco67: Oh definitely The Rock no competition. Hillary is a liar she's a crook and she don't care about the American people. http…,negative
653,"RT @skromla: If anyone has been mislead into believing Hillary Clinton isn't a hawk, she just gave a speech in AIPAC that sums... https://t…",NA
654,Clinton used speech to turn to gen elex. Trump used his to clear a basic bar of credibility https://t.co/jFM1few4YT,NA
655,RT @RaniaKhalek: Hillary Clinton striking at Trump's professed neutrality on Israel to thunderous applause at ,
656,RT @soylentgs: ,
657,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
658,"GOP have a plan to take out Trump, but no plan to take out Hillary.....  Hmmmmmm..... https://t.co/GO8K9TjopN",NA
659,"RT @umpire43: I have vetted the Hillary story &amp; it is in every newspaper. FBI is ready to indict HRC &amp; if Obama &amp; Atty Gen refuse, the FBI …",NA
660,"RT @JohnKasich: BREAKING: 2 new polls out tonight!

Only John Kasich defeats Hillary Clinton in November.

https://t.co/I0uZ3dnqmU
https://…",negative
661,Poll: Clinton trails only 1 in GOP:  https://t.co/rU1LTCrwVi,NA
662,Poll: Clinton trails only 1 in GOP:  https://t.co/iKffZqDPLQ,NA
663,RT @ReddLipBandit: People think Hillary is the great white hope or something smh,NA
664,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,negative
665,RT @LostDiva: or that we're killing 100K innocent people. Hillary loves the children! NOPE! ,
666,Poll: Clinton trails only 1 in GOP:  https://t.co/AdpRVz12dx,NA
667,"#JohnKasich beats #HillaryClinton by 5.2 pts.

#DonaldTrump loses to Hillary by 9.8 pts.

https://t.co/GAaCXSkqRu

https://t.co/GAaCXSkqRu",NA
668,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,negative
669,Poll: Clinton trails only 1 in GOP:  https://t.co/CIGaj0Rk1Y,NA
670,"RT @MenstruaI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/O8YdNrNllB",NA
671,An ex-NRA lobbyist is co-hosting a fundraiser for Hillary Clinton in March https://t.co/aFlAJA0RcO ,
672,"RT @TweetLikeAGirI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/BG4pCnT8wR",negative
673,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
674,Poll: Clinton trails only 1 in GOP:  https://t.co/uYScnK3EjW,NA
675,Clinton Email Scandal: It's Time Hillary Suspended Her Campaign https://t.co/VAn2Meuvh5 via @IBDeditorials,NA
676,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,negative
677,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
678,Poll: Clinton trails only 1 in GOP:  https://t.co/mGGBEXWphL,NA
679,"RT @TweetLlkeAGuy: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/w2ccPnntBj",NA
680,Poll: Clinton trails only 1 in GOP:  https://t.co/WZgL6HyLXP,negative
681,"RT @GuyCodes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/n02sn0mNJq",NA
682,@ericaewilliams Cruz is bad but Rubio was even worse. The GOP is a total joke. Hillary is the best of all the republicans candidates.,NA
683,Poll: Clinton trails only 1 in GOP:  https://t.co/AuVq59pvzB,NA
684,"RT @BloombergTV: Marc Faber: I'd vote for @realDonaldTrump because ""Clinton will destroy the whole world"" https://t.co/GzEQ4loQGB https://t…",negative
685,RT @DRUDGE_REPORT: PAPER: FBI BOSS 'INCREASINGLY CERTAIN' SHE BROKE LAW... https://t.co/rg0y8uf9Ir,NA
686,When is War Hawk Hillary going to come on to pander a little more. ,
687,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
688,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
689,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
690,Poll: Clinton trails only 1 in GOP:  https://t.co/w7e81CkUkv,NA
691,"RT @HuffingtonPost: George Clooney praises Hillary Clinton, shades Trump in endorsement email https://t.co/JXigSCob5L https://t.co/iRUKJdj1…",NA
692,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
693,RT @NatCounterPunch: Shining the light of truth on Hillary and Honduras' descent into murder. https://t.co/Hra2ZJX6yp https://t.co/qegZZeqC…,NA
694,Let's finish what Obama started. Elect Hillary. Many of my friends have died bc of lack of health ,
695,@elizabethforma @processanalyzer @realDonaldTrump Every politician is rich off the American people. Hillary herself owns more than 1 mansion,NA
696,Poll: Clinton trails only 1 in GOP:  https://t.co/2iiwvWBcXR,negative
697,"Black Hillary supporters like John Legend, etc. need to disavow themselves from the Black Lives Matter movement.",NA
698,"RT @cslick803: Don't know about you, but this Republican wants to beat Hillary in November. It's about the #270. https://t.co/gbhcQo6Uyu",NA
699,"RT @NumbersMuncher: Hillary is an unpopular, damaged candidate and the GOP has found a way to completely neutralize every one of her weakne…",NA
700,Poll: Clinton trails only 1 in GOP:  https://t.co/m5XgZJoBut,negative
701,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",NA
702,Poll: Clinton trails only 1 in GOP:  https://t.co/Oza3Co8gHD,NA
703,"RT @realZENman: @JaredWyand @HillaryClinton Yep, and Trumps are ""YUGE"" ! Watch out Hillary😄",NA
704,"RT @albamonica: Hillary Clinton on Gabby Giffords in Phoenix, AZ: ""I am in awe of her courage"" https://t.co/CB2U6iyj5x",negative
705,I don't know if my eyeballs can take 8 more months of ,
706,Poll: Clinton trails only 1 in GOP:  https://t.co/tc5dIGGeIf,NA
707,"RT @Ricky_Vaughn99: Hysterical millennials make a lot of noise, but there aren't enough of them to defeat Trump. They hate Hillary anyways.",NA
708,Poll: Clinton trails only 1 in GOP:  https://t.co/j6QPegxTRt,negative
709,"RT @Newsweek: Hillary Clinton slams Donald Trump at AIPAC: ""We need steady hands"" in the White House https://t.co/tfpoon0B9a https://t.co/G…",NA
710,Poll: Clinton trails only 1 in GOP:  https://t.co/lqhlHebwXP,NA
711,@FormerlyFormer Actually starting to believe he may give Hillary a run for her money...,NA
712,RT @cjwerleman: Hillary again reminds how the Palestinians are the only occupied people in history to be held responsible for the welfare o…,negative
713,Poll: Clinton trails only 1 in GOP:  https://t.co/iNffAbtolH,NA
714,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
715,"RT @BrianGriffiths: And yet you're supporting Mr. Establishment himself, the Hillary Clinton donor  https://t.co/p4hBiQfaVI",NA
716,@reedfrich @ICUDrEd @elongreen /it really benefits Hillary to run against Obama. Isn't she meant to be the continuity candidate?,negative
717,RT @SheilaPawley: Sounds like Mrs Cruz could be another Hillary! Very Scary!!!! https://t.co/eH6dgqLGnb,NA
718,Poll: Clinton trails only 1 in GOP:  https://t.co/pYD3lvJLrp,NA
719,RT @SteveJurevicius: MT: Shameful ,
720,"""Hillary Clinton and Donald Trump Vow to Protect Israel but Differ on Means"" by MARK LANDLER and MAGGIE HABERMAN v… https://t.co/7Us8nWQeS4",negative
721,"RT @GuyCodes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/n02sn0mNJq",NA
722,"RT @TheFix: 6 in 10 GOPer say if no candidate gets a majority, delegates should vote for leading delegate-getter. https://t.co/ayrz8Xx2BO",NA
723,"RT @GuyCodes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/n02sn0mNJq",NA
724,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,negative
725,"RT @TheFix: 6 in 10 GOPer say if no candidate gets a majority, delegates should vote for leading delegate-getter. https://t.co/ayrz8Xx2BO",NA
726,Poll: Clinton trails only 1 in GOP:  https://t.co/ODSsKdI8et,NA
727,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
728,Poll: Clinton trails only 1 in GOP:  https://t.co/oC0Sq6kWZB,negative
729,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",NA
730,"Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",NA
731,"RT @lisabailey2014: Hillary Clinton Lands in Texas, Goes DIRECTLY to Muslim Fund-Raiser, Collects $500,000 https://t.co/V49dzUWgaE https://…",NA
732,"RT @FiveRights: Trump can win millions of Dem votes, defeat Hillary.
Cruz, very few.
Why only Trump can beat her. https://t.co/nqTCnInSIe",negative
733,Poll: Clinton trails only 1 in GOP:  https://t.co/U7iwskXCm5,NA
734,"RT @DiamondandSilk: Kasich, millions of  people got out &amp; voted for @realDonaldTrump.  Don't go against the will of the people.  Trump will…",NA
735,A vote for Malcomb Haming is a vote against Hillary Clinton!!!,NA
736,@skau61 Done! Sign @RBReich's petition: Bernie or Hillary? Let the voters decide -- not party elites  https://t.co/G8rNM3NarH,negative
737,"Facing Backlash, Hillary Clinton Says Coal Still Has a Future https://t.co/jcF074bPgn https://t.co/dTbK9hCOqo",NA
738,Poll: Clinton trails only 1 in GOP:  https://t.co/y11zaB5hfj,NA
739,@SteveDeaceShow @dadz1949z @jflo_1976 Trump wins..so get used to it n get onboard..unless u want witch hillary..,NA
740,"RT @Lopez19880110: Leaked #Hillary emails reveal #Google worked with Obama-regime to overthrow Assad in Syria!
#AltRight #tcot #ccot https:…",negative
741,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,NA
742,RT @Brothers4Bernie: Peeps should see this: Wikileaks Drops Hillary Email Bomb That Could End Her Campaign &amp, FB Censored It 
743,"RT @TweetLlkeAGuy: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/w2ccPnntBj",NA
744,"RT @lhfang: What a coincidence, after big Hillary Super Tuesday win, stocks for defense contractors Lockheed, General Dynamics, Boeing, etc…",negative
745,"RT @maggieNYT: W the great @MarkLandler, Clinton and Trump's divergent AIPAC speeches https://t.co/jFM1few4YT",NA
746,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",NA
747,Clinton Email Scandal: It’s Time Hillary Suspended Her Campaign https://t.co/PwWHKm8j5S,NA
748,"RT @nmmal_m: Who do Super Pacs LOVE &amp; SUPPORT?
$lick Hilarious #Hillary -$58 MILLION (So Far)
#BernieSanders - $0 (NOT FOR SALE)
 https://t…",negative
749,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,NA
750,Poll: Clinton trails only 1 in GOP:  https://t.co/w8LU0nwOJC,NA
751,"RT @Manstagram_: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/PVZKbPdjJ4",NA
752,RT @fox12oregon: Pres. @billclinton draws crowds to Vancouver for @HillaryClinton rally https://t.co/cmlzg7ASDZ https://t.co/TjeUXLQgFR,negative
753,RT @Politics_PR: The Truth About Hillary's E-mails @PositivelyJoan @ktnicoll87 ,
